,Technology,O2_substitution,Ratio_NG,Direct_CO2,Indirect_CO2,Energy_use,Product_cost,ROI,Payback
37,4,21,92,214.44885928583557,24.741455998672876,3.711218399800932,5.262748064093766,8.521811109789045,1.3798056123080689
38,5,51,93,198.19081198416816,22.607065769671127,3.4279192118142636,5.158988991621842,8.823895890952288,2.2710883535567796
39,5,26,89,197.7425132525367,23.624931003258077,3.4281829227553833,5.117764411552462,10.231296065075785,2.289382408567303
40,4,15,84,211.73260783608555,26.88934293652074,3.682670880436535,5.203638337938675,11.777841512638187,1.3954792480594527
41,4,4,88,213.952669483253,25.868104382242013,3.711510628756462,5.228460603288589,10.410519146182796,1.3888541706583064
42,1,54,80,184.86626325804949,101.31010970649639,3.799129113993616,5.332174703658371,0.5903538988494831,10.836236844482427
43,2,52,75,237.9063144073589,34.075815311834795,4.166879589762408,5.397286313142657,2.2633311087054078,0.6603245025785609
44,6,22,99,219.35343327417408,23.430706707788588,3.782021680550654,6.1657500775969165,-31.99427172708414,1.5173167793473459
45,9,30,93,40.000601995839354,608.4151147380898,4.563113360535673,9.663741285061018,-13.368582890339628,13.147369343964915
46,4,31,75,208.88174404966114,29.918565843790955,3.658520279811394,5.191322032537893,12.456279181770748,1.398789994048977
47,5,23,78,191.74140824685855,26.34103277105504,3.349892211101565,5.064782383577815,12.040093517261797,2.3133313393661212
48,4,47,97,215.01154875268182,23.46403847392578,3.710888693430653,5.461339575081388,-2.4175053036697998,1.3296315336502014
49,2,24,79,238.6672576687035,32.34691395645867,4.166423156348209,5.395130812506081,2.505253060091329,0.6605883200716149
50,2,43,91,240.54871078741286,28.07386692898641,4.165307430224614,5.439270887807736,-2.4487947235658223,0.6552275982409165
51,2,10,87,239.97922880895297,29.366986764656428,4.165643231290939,5.409283483608513,0.9168323691732798,0.6588599785534803
52,2,38,85,239.6743884557773,30.059276617862462,4.165823661714636,5.402172186808792,1.7149665796118496,0.6597272868685302
53,7,35,95,197.02507374801283,21.976878850213343,3.4040274306037013,5.197948183943878,6.357673488144694,2.6568842284075194
54,4,25,93,214.56623751870458,24.47496427797931,3.71114947475882,5.27878916792393,7.638194737937946,1.3756126801055535
55,5,33,91,197.9715889780408,23.104792482555812,3.4280480150748573,5.133022588034283,9.710384506942722,2.2825771003448674
56,2,25,81,239.01954621562246,31.546632373873443,4.1662128624191554,5.395767819150291,2.4337588151822693,0.6605103331820609
57,2,19,77,238.29666841804868,33.18886115349153,4.166645068726382,5.395708416280138,2.4404258780545605,0.6605176049259228
58,4,42,83,211.5896935890996,27.21393811094112,3.6827557552306196,5.202033730586111,11.866230525148191,1.3959096943767497
59,5,11,83,192.44130502900006,24.75113828189668,3.349474691408844,5.066922488443193,11.967030700003098,2.312354262715373
60,1,53,78,182.04224206774558,112.55255755313426,3.837019007493214,5.358589044002595,0.4132295365649301,10.633175342821161
61,5,49,98,200.87262350957107,21.68636791083598,3.465104437927054,5.498233350573243,-2.757849006268291,2.13096081376365
62,4,27,86,212.00846556863988,26.26284337998171,3.682507386975696,5.208532162395799,11.50826758199958,1.394168085862382
63,2,5,90,240.4110859759517,28.386350791889694,4.165388431418598,5.428855792835479,-1.2798597407576728,0.6564846324898514
64,2,9,86,239.8285809599999,29.70909884613316,4.165732338207801,5.40529619889887,1.3643440429441587,0.6593459949014497
65,2,13,88,240.12645284315715,29.03266485100113,4.165556261230598,5.414336321272435,0.34972868710964533,0.6582451086382507
66,2,44,76,238.10405953119516,33.62648975425441,4.166760686940219,5.396382618799514,2.3647569655294296,0.6604350824910268
67,2,24,78,238.4843386154957,32.762478570963985,4.166532600872594,5.395283209721478,2.4881488054652774,0.6605696608434358
68,5,13,85,192.69820831844493,24.167658400761418,3.349322224018567,5.070321121156016,11.851001955410457,2.310804293265093
69,5,46,80,192.0318654114473,25.68117561400693,3.34971855834873,5.064780114592679,12.040170980029638,2.313332375721956
70,9,43,95,40.000601995839354,608.4151147380898,4.563113360535673,11.178542433891849,-18.137628313775153,11.365773012947756
71,4,53,99,217.39465665641708,23.221475788756756,3.7482490811199773,6.143812340982063,-40.01118437196217,1.1819321476604983
72,2,5,98,241.43344171823446,26.065346046677867,4.164788987893094,5.859509848255875,-49.61418527595691,0.6082352436118591
73,2,21,94,240.94401609692875,27.176377839313858,4.165075299286147,5.4954884202325704,-8.75835219506131,0.6485247765928642
74,2,3,95,241.07023638873923,26.88983325179977,4.165001346066813,5.530791933221224,-12.7206311237108,0.6443851880582843
